"","b00dbd31a1deaac3a7effb65ba2a75b8","d58c7a4c645b97f66706a2132681d87b","adc573b8a97a30d9e6110740c24c4bec","46ad573404c508a657a958f14ac479d8","dff20f39b2eb3ee42bcdaa0782d3ca22","ce70e16e6d3c96628ca468715ae74442","124786fe35c30dd78e19aa4fdfa3fc74","50d4f4ae391c4758e774c225312bc79e","6b3d9fe036475e690fb9720c4fcd4fa0","b4129da495f25ff14d694a5fb3e850fc","8aaf6f00a45c3d49d9f2ff60d653cfce","5fc2fc0511ef331ade0d6fdc51d75b67","f830d3624691a51f38486cb062d4894f","6fc41326466462b13b8331d5de56163c","c1cae1e9c640d6b4939492bf022b9e97","fdae3ad647e3c4bce4f51b155b86f141","83319c98f0feb2a650db72f9d0debebd","f66f9eab4883ca7f6f92823de5139a8a","2953001423de58eb1d968b5f31f18d7e","ef885284dd31ab945fc6610b5a953698","e7c840ed9c4279e6c8fc6f5f719c39d7","4e73322f62eb17f4a481d7a6ee00f372","1fc86d69361ffb3693d1bd6994ef2db0","09d7d087ec8e5f2423b56fec3bb863ab","e66494191e234d7059557e7f645360cf","c0e3de2b20beb178c0d7e441ac21d8f7","897243cd88cdb6606fdf8b3736cdbe73","66ad54617c7d337a39a30166aa392b4d","cf8df4d117665ba169746ea90cd43209","8a9c4d24365a9dfae0ac39fd551a03fb","2c16c47cfbb985ef190738cae250c995","6cf753677bb0eca5d18fe06b8c5cc0a6","6ccbec517eaa441c1c44049c28c4d704","16d8d3d9f13eb038dccb0d8b2433f416","9a4d7d7e3b5de1fb04a8100662fcb541","edeb83b5e35ed4d48d0aad210386ab7c","1d0c625639dc71d31220634d322b67e5","a7b942faf62c925ed25423e210091c17","8ecccf76837f9e7eacd52f09c258fed8","4cf9c66e58652c153e2fe56288a15431","fc06ce256b93fb99c50fdb20ac02fb04","40a793ae0a529e3d5453851a6e3ee20a","9695677680adf5f0816fc6222ebdb594","a9828e535c07dbd2114170f5d8a605aa","f8f10ed03ba3611669442361f654577e","cc269300af031e50c03fb7681f266efb","f4b1855be9ebc26d8f87842f8e54f63c","6008985fb159ef8068df9cae8d5669b4","237d568c97a9b7943b1755737ccd58a5","7dc533ed8c4bd753b5f3e3e645ae5baa","daff5c38f8c7750f21682ac51d24eb0a","c7ff32269427fd2472731898c559db4d","64835811dc4f953ff083a9525cdce754","ebab84af79f23739d415811eca17dd02","6e82673aa178b2e8b90458c1e56b9fe9","3de8868e50350b2b5d1fe64f2b68f6c9","3359e1fbdef93a61cac47f4c035541a2","5f62c26fdfb2bc211d0c15d30e67bcda","b861d5d203151e799cb6ddfde60bb5f9","51e394cf1d6ddd0c245d33a0186745c4","832a5cc4abe2a2f48de28cb1f542837f","a08657609d8264c9efabd25f32475d19","43cb2642fbbddbeb41318f110e325adb","05fd99578c47b6adb5133cc4e63d27bc","e4f100974b9ab91eccdb003583798f27","dd6b29308bb7db32766571a5d436350d","b8f98b78080857fd92f43ef7402dcdae","7164aa77aeae72f50bcdc16de2895113","1b4bb4982b6e0438ab81cddd598067e9","5a84501429892df614e82dc5f5873db3","8f822867e78f5b658453449f629dab13","8fa6bba3814d920a6aeae6475c29322e","60ca04ff88a299badd62588fd5d46665","1ea5aac4338df430a110b053367dd124","bb87b227da6a17d28fbdfcdc83b2a711","2220a04673dd418d85f560cff6d16af3","5fb6a0f4c07844606599cbac5f67144b","d64c4cf891456dd977eb469556497354","e1483dace8ae53fa07f56ecf03f60f80","0aa7584edee3e9296ed2848a74c2ad98","7fd2c9a5cf4309d6fc7405ad387b9645","4ddafa77b0cce0f8174834ae556c319b","5c75c694b65f82d12605f6fc56640f5d","bfa816072591cba840c9132a77f8b2d4","03135f4aae975eb40222a444b39139b7","f83c1cb5dc164e8b9b17531df7b7d921","deeef6635f3e406077282d1ac99f654d","7d04277a2e93ea798966acde02d97d55"
"Sample34",7003,770,142,88,91,659,80,74,23,23,192,44,54,14,174,43,36,328,199,815,142,36,20,13,6,5,8,23,1,27,22,3,18,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,155,20,7,1,6,3,1,332,2,2,1,326,794,426,2,214,4,1,3,30,1,16,179,8,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample14",908,187,5,6,11,463,6,13,2,2,121,193,188,11,738,534,278,368,311,2277,780,90,23,14,4,8,21,35,1,27,30,3,132,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,29,7,1,14,3,1,120,2,2,1,440,1258,223,2,84,4,1,3,27,1,16,15,8,66,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample26",44,59,5,3,10,2541,6,9,2,2,102,78,211,43,1195,1129,833,294,232,4982,111,50,18,15,3,15,25,33,5,115,21,3,18,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,26,16,1,6,3,1,301,2,2,1,66,2199,536,2,175,4,1,3,96,1,16,12,8,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample23",31,558,5,3,62,480,9,22,2,2,148,198,83,47,52,47,40,103,3161,2754,296,47,74,13,42,11,19,41,1,1106,359,39,22,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,14,7,1,6,3,1,361,2,2,1,69,1120,1087,2,188,4,1,3,64,1,155,32,12,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample33",42,61,5,3,10,5012,6,9,2,2,25,1142,352,24,772,256,227,19,460,271,58,53,305,13,3,26,8,63,1,27,20,3,126,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,14,7,1,6,3,1,45,3,2,1,73,4107,528,2,54,4,1,3,22,1,16,12,8,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample22",31,59,5,3,10,180,6,9,2,2,25,10,42,11,52,42,36,19,35,539,58,35,18,13,3,5,8,19,1,27,20,3,18,890,906,1020,1798,640,674,596,486,397,382,474,173,168,132,133,8,16,14,7,1,6,3,1,43,2,2,1,66,300,111,2,53,4,1,3,22,1,16,12,8,170,4,368,1,2,14,2,3,2,1,1,12,2,6,4
"Sample10",31,59,5,3,10,180,6,9,2,2,25,10,42,11,52,42,36,19,35,204,58,35,18,13,3,5,8,19,1,27,20,3,18,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,14,7,1,6,3,1,43,2,2,1,66,300,112,2,53,4,1,3,22,1,16,12,8,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample30",55,63,5,3,36,3821,6,9,2,2,1921,840,589,11,52,45,45,119,972,5513,307,116,132,13,73,5,10,44,1,27,65,3,28,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,204,15,16,1,7,3,1,114,2,2,1,489,1816,662,2,431,4,1,3,32,1,118,12,17,17,4,7,1,2,14,2,23,2,1,1,3,2,6,4
"Sample31",36,183,5,3,10,810,6,9,2,2,70,17,52,25,76,50,172,22,45,1962,5138,52,26,13,3,74,59,22,1,290,252,3,28,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,724,134,1,6,3,1,90,2,2,1,313,1767,269,2,214,4,1,3,43,1,16,12,8,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
"Sample20",47,73,5,3,10,636,6,9,2,2,25,499,274,17,189,2019,101,277,608,2133,825,35,18,25,3,36,36,39,5,37,20,3,19,5,4,6,26,6,7,5,6,3,10,10,1,6,3,5,1,16,18,7,1,6,3,1,188,2,2,1,67,1443,322,2,296,4,1,3,22,1,16,12,9,17,4,7,1,2,14,2,3,2,1,1,3,2,6,4
